date,open,close,high,low,volume
2024-07-19 15:00:00,10.38,10.37,10.42,10.29,89872320.0
2024-07-22 15:00:00,10.36,10.23,10.38,10.19,99448088.0
2024-07-23 15:00:00,10.25,10.18,10.33,10.16,102015360.0
2024-07-24 15:00:00,10.18,10.13,10.24,10.12,72451760.0
2024-07-25 15:00:00,10.12,10.09,10.15,10.0,85640440.0
2024-07-26 15:00:00,10.1,10.03,10.12,9.97,92955192.0
2024-07-29 15:00:00,10.02,10.11,10.14,9.97,78155240.0
2024-07-30 15:00:00,10.1,10.08,10.13,10.03,61326796.0
2024-07-31 15:00:00,10.08,10.27,10.28,10.07,109690632.0
2024-08-01 15:00:00,10.25,10.27,10.32,10.17,73388376.0
2024-08-02 15:00:00,10.22,10.14,10.25,10.13,59022876.0
2024-08-05 15:00:00,10.11,10.05,10.22,10.05,75897856.0
2024-08-06 15:00:00,10.07,9.93,10.12,9.89,126553688.0
2024-08-07 15:00:00,9.95,9.93,9.98,9.91,51760840.0
2024-08-08 15:00:00,9.92,9.94,9.98,9.9,50041068.0
2024-08-09 15:00:00,9.96,10.04,10.1,9.94,73027392.0
2024-08-12 15:00:00,10.02,10.01,10.05,9.98,35301344.0
2024-08-13 15:00:00,10.02,9.95,10.03,9.92,62207720.0
2024-08-14 15:00:00,9.94,9.92,9.98,9.91,43638040.0
2024-08-15 15:00:00,9.92,10.03,10.06,9.87,77624744.0
2024-08-16 15:00:00,10.08,10.13,10.21,10.05,126036760.0
2024-08-19 15:00:00,10.13,10.29,10.3,10.12,148298528.0
2024-08-20 15:00:00,10.32,10.34,10.43,10.28,156918672.0
2024-08-21 15:00:00,10.3,10.35,10.38,10.21,103488784.0
2024-08-22 15:00:00,10.34,10.38,10.45,10.32,110903040.0
2024-08-23 15:00:00,10.39,10.47,10.5,10.32,107190568.0
2024-08-26 15:00:00,10.5,10.49,10.55,10.42,74067520.0
2024-08-27 15:00:00,10.47,10.43,10.52,10.37,72313656.0
2024-08-28 15:00:00,10.41,10.33,10.43,10.28,94254752.0
2024-08-29 15:00:00,10.31,10.13,10.38,10.11,119767632.0
2024-08-30 15:00:00,10.11,10.16,10.26,10.11,129405904.0
2024-09-02 15:00:00,10.12,10.11,10.21,10.09,96883552.0
2024-09-03 15:00:00,10.11,10.08,10.13,10.0,91658120.0
2024-09-04 15:00:00,10.05,10.02,10.15,10.0,84799232.0
2024-09-05 15:00:00,10.03,10.07,10.08,9.98,59420876.0
2024-09-06 15:00:00,10.06,10.08,10.21,10.05,87886544.0
2024-09-09 15:00:00,10.05,9.85,10.07,9.84,163917456.0
2024-09-10 15:00:00,9.86,9.9,9.92,9.78,76790112.0
2024-09-11 15:00:00,9.88,9.65,9.88,9.63,110872704.0
2024-09-12 15:00:00,9.65,9.74,9.77,9.61,58183404.0
2024-09-13 15:00:00,9.73,9.7,9.82,9.7,56646192.0
2024-09-18 15:00:00,9.72,9.77,9.78,9.66,44361100.0
2024-09-19 15:00:00,9.79,9.81,9.84,9.68,68429312.0
2024-09-20 15:00:00,9.81,9.9,9.9,9.78,79729712.0
2024-09-23 15:00:00,9.89,10.04,10.09,9.87,89690752.0
2024-09-24 15:00:00,10.11,10.37,10.37,10.08,163821312.0
2024-09-25 15:00:00,10.52,10.5,10.7,10.45,216069392.0
2024-09-26 15:00:00,10.5,11.15,11.15,10.5,308645728.0
2024-09-27 15:00:00,11.35,11.42,11.56,11.03,384001632.0
2024-09-30 15:00:00,11.62,12.21,12.3,11.56,543028352.0
2024-10-08 15:00:00,13.43,12.88,13.43,12.34,588897792.0
2024-10-09 15:00:00,12.63,11.68,12.63,11.66,426934496.0
2024-10-10 15:00:00,11.62,11.98,12.26,11.6,342642176.0
2024-10-11 15:00:00,12.0,11.72,12.17,11.58,207089056.0
2024-10-14 15:00:00,11.98,12.02,12.18,11.79,240059504.0
2024-10-15 15:00:00,11.94,11.9,12.23,11.88,207284080.0
2024-10-16 15:00:00,11.8,12.06,12.18,11.77,191449360.0
2024-10-17 15:00:00,12.07,11.95,12.23,11.93,165370816.0
2024-10-18 15:00:00,11.91,12.04,12.18,11.68,260465408.0
2024-10-21 15:00:00,11.94,11.81,11.94,11.63,280665472.0
2024-10-22 15:00:00,11.76,11.79,11.93,11.72,161778720.0
2024-10-23 15:00:00,11.82,11.86,11.89,11.75,151186608.0
2024-10-24 15:00:00,11.81,11.75,11.86,11.72,88529944.0
2024-10-25 15:00:00,11.77,11.71,11.78,11.69,110575472.0
2024-10-28 15:00:00,11.68,11.64,11.68,11.53,116948696.0
2024-10-29 15:00:00,11.62,11.54,11.74,11.53,119802480.0
2024-10-30 15:00:00,11.5,11.32,11.58,11.27,148240272.0
2024-10-31 15:00:00,11.33,11.38,11.44,11.24,125020536.0
