date,open,high,low,close,volume
2022-01-04,1266.24,1319.61,1266.24,1316.15,58729036.0
2022-01-05,1316.15,1317.07,1221.18,1230.88,75760190.0
2022-01-06,1224.65,1240.13,1187.68,1225.57,49466771.0
2022-01-07,1241.98,1243.13,1186.52,1192.3,39286561.0
2022-01-10,1185.36,1240.82,1168.27,1221.18,47502655.0
2022-01-11,1220.95,1232.73,1173.81,1176.12,41005409.0
2022-01-12,1185.36,1204.08,1156.02,1186.75,37654721.0
2022-01-13,1183.52,1183.52,1115.58,1115.81,57062669.0
2022-01-14,1109.34,1128.98,1097.33,1116.51,42983017.0
2022-01-17,1116.51,1181.9,1109.11,1174.5,50936138.0
2022-01-18,1173.81,1209.63,1166.88,1181.44,33644620.0
2022-01-19,1175.43,1184.9,1130.14,1150.7,33710309.0
2022-01-20,1155.33,1178.43,1138.69,1160.64,32841687.0
2022-01-21,1144.0,1161.8,1118.12,1124.36,30092456.0
2022-01-24,1111.19,1169.19,1110.5,1159.25,33773975.0
2022-01-25,1150.7,1172.42,1120.67,1124.13,26208840.0
2022-01-26,1124.13,1143.54,1091.78,1119.97,35423040.0
2022-01-27,1115.58,1132.22,1086.01,1086.01,28635481.0
2022-01-28,1092.94,1113.73,1079.31,1087.62,32231888.0
2022-02-07,1078.15,1097.56,1016.69,1054.81,62844538.0
2022-02-08,1052.5,1063.13,986.19,1028.01,65030535.0
2022-02-09,1039.56,1039.79,990.81,1032.17,48767229.0
2022-02-10,1035.4,1049.5,996.82,1003.05,50643310.0
2022-02-11,993.58,1002.36,947.6,950.37,83798459.0
2022-02-14,942.75,970.47,937.43,945.29,46266578.0
2022-02-15,949.68,1006.29,947.6,999.82,64807820.0
2022-02-16,1007.44,1020.15,993.81,1005.13,41341936.0
2022-02-17,1005.83,1043.26,994.27,1028.24,44991683.0
2022-02-18,1020.15,1032.4,1006.98,1016.22,31751412.0
2022-02-21,1014.15,1026.85,1007.44,1011.83,26660454.0
2022-02-22,997.05,1009.29,976.94,1005.13,28055178.0
2022-02-23,1013.45,1052.73,1007.68,1046.26,43743652.0
2022-02-24,1038.18,1046.73,1007.91,1023.85,37868893.0
2022-02-25,1046.26,1064.29,1030.55,1034.25,38953283.0
2022-02-28,1018.3,1036.79,994.04,1011.6,41218076.0
2022-03-01,1016.69,1021.08,989.19,1000.74,34661747.0
2022-03-02,993.58,993.58,965.16,974.86,44407187.0
2022-03-03,993.58,993.58,935.81,941.13,48797862.0
2022-03-04,924.26,943.21,905.54,908.78,49042227.0
2022-03-07,902.54,903.0,851.48,856.33,74149123.0
2022-03-08,861.18,872.73,832.07,852.63,68939162.0
2022-03-09,852.63,880.36,824.9,868.34,64088430.0
2022-03-10,889.6,898.84,871.12,877.59,69821127.0
2022-03-11,851.24,859.33,806.88,841.54,94489742.0
2022-03-14,838.77,846.16,808.73,813.35,47264436.0
2022-03-15,808.73,835.99,789.09,798.33,63644577.0
2022-03-16,830.68,834.38,781.0,833.22,81870418.0
2022-03-17,856.1,883.82,840.85,865.34,97249875.0
2022-03-18,861.87,886.6,854.48,865.34,50005377.0
2022-03-21,877.82,896.53,866.73,877.82,55466416.0
2022-03-22,872.73,896.53,869.27,883.82,50121879.0
2022-03-23,887.75,893.76,871.12,878.97,32638632.0
2022-03-24,873.43,878.97,857.25,871.12,31832917.0
2022-03-25,880.36,881.51,856.79,860.02,25961903.0
2022-03-28,842.93,865.34,839.0,854.94,35400100.0
2022-03-29,854.94,857.95,769.45,788.63,139976456.0
2022-03-30,799.49,842.23,799.02,842.23,92139205.0
2022-03-31,834.15,838.3,793.48,794.86,61519469.0
2022-04-01,781.23,823.98,778.23,809.19,59501315.0
2022-04-06,802.26,805.96,764.83,770.37,57686708.0
2022-04-07,770.37,808.27,769.22,790.24,59244035.0
2022-04-08,803.18,804.11,776.38,783.77,31654603.0
2022-04-11,783.31,783.77,740.8,742.18,46912004.0
2022-04-12,749.58,752.35,716.76,742.87,45458660.0
2022-04-13,734.09,736.64,712.14,717.46,39750811.0
2022-04-14,724.85,734.09,714.92,728.32,33514366.0
2022-04-15,721.62,741.26,715.15,736.64,34586098.0
2022-04-18,730.4,771.3,728.32,764.83,46427728.0
2022-04-19,760.2,764.36,738.25,740.56,41774487.0
2022-04-20,744.95,746.11,717.69,719.77,33190689.0
2022-04-21,717.0,743.11,714.45,720.92,47205275.0
2022-04-22,716.07,729.94,697.82,707.75,42429623.0
2022-04-25,688.57,688.57,637.28,637.28,68091535.0
2022-04-26,646.75,659.69,632.66,638.43,46215357.0
2022-04-27,663.85,702.21,663.16,702.21,76058599.0
2022-04-28,730.17,772.45,725.54,772.45,120958409.0
2022-04-29,785.62,816.58,760.2,809.88,90550235.0
2022-05-05,815.66,824.9,801.33,810.58,55892351.0
2022-05-06,785.62,806.42,782.39,788.39,42178657.0
2022-05-09,785.16,795.33,776.38,787.01,28304465.0
2022-05-10,776.38,821.44,766.44,802.72,84210203.0
2022-05-11,805.26,865.34,802.72,833.22,80876553.0
2022-05-12,828.37,840.38,815.43,825.36,39124294.0
2022-05-13,825.36,838.3,805.26,813.35,40383185.0
2022-05-16,822.82,839.23,805.49,808.73,41435394.0
2022-05-17,807.8,848.01,806.42,835.3,53201130.0
2022-05-18,838.77,848.01,829.06,838.77,33681809.0
2022-05-19,825.13,858.87,823.29,854.48,42733092.0
2022-05-20,857.71,873.43,841.08,868.81,55376488.0
2022-05-23,871.58,882.44,840.15,852.86,39574197.0
2022-05-24,852.86,873.43,833.91,834.61,42401418.0
2022-05-25,831.83,844.31,823.52,841.31,28273261.0
2022-05-26,843.07,878.61,827.04,860.49,51398662.0
2022-05-27,869.55,876.52,850.27,860.49,35293570.0
2022-05-30,864.21,868.85,853.98,860.26,22466436.0
2022-05-31,868.62,946.21,858.86,946.21,92386535.0
2022-06-01,939.48,954.81,928.79,929.25,73630823.0
2022-06-02,931.35,947.84,927.4,943.43,39537427.0
2022-06-06,943.19,965.73,936.22,962.01,56479972.0
2022-06-07,957.6,960.15,919.5,934.37,63923911.0
2022-06-08,929.02,940.64,910.9,920.43,49344951.0
2022-06-09,920.43,923.45,881.63,889.99,55912261.0
2022-06-10,889.99,911.13,878.38,909.51,56345863.0
2022-06-13,892.08,902.07,879.31,890.46,49965257.0
2022-06-14,877.91,878.15,825.87,857.24,87921570.0
2022-06-15,859.33,881.63,848.64,865.6,60831678.0
2022-06-16,865.83,890.69,860.95,867.69,53762319.0
2022-06-17,854.22,880.0,849.8,860.02,47916067.0
2022-06-20,866.53,879.07,836.79,852.13,75804256.0
2022-06-21,856.08,894.17,853.29,880.0,100235567.0
2022-06-22,882.79,883.02,791.96,791.96,162603286.0
2022-06-23,752.46,774.07,727.14,757.11,229715871.0
2022-06-24,747.12,781.5,739.69,777.55,136323845.0
2022-06-27,778.72,789.4,767.1,775.93,98422413.0
2022-06-28,772.44,795.44,761.99,795.44,101572032.0
2022-06-29,790.1,796.6,774.3,774.3,88836613.0
2022-06-30,775.23,791.26,764.31,780.57,69198575.0
2022-07-01,787.54,794.98,775.0,778.48,52991002.0
2022-07-04,765.94,777.79,743.4,767.8,81678545.0
2022-07-05,766.87,770.35,743.64,751.77,67604646.0
2022-07-06,753.16,767.8,746.19,753.16,56172099.0
2022-07-07,745.26,763.85,735.74,752.46,54890598.0
2022-07-08,752.7,787.78,752.46,768.26,112165576.0
2022-07-11,777.09,778.02,745.03,752.46,54076607.0
2022-07-12,748.05,758.5,735.97,754.55,48864200.0
2022-07-13,757.11,766.17,739.92,741.54,58101870.0
2022-07-14,736.43,746.66,727.37,734.11,46791826.0
2022-07-15,734.11,757.34,720.17,737.13,63231485.0
2022-07-18,739.92,743.87,710.41,730.86,54987172.0
2022-07-19,743.4,756.88,730.86,742.71,48305310.0
2022-07-20,748.28,756.65,741.31,746.66,42896975.0
2022-07-21,749.21,765.01,741.08,754.55,74464700.0
2022-07-22,748.51,752.23,724.82,731.79,59011124.0
2022-07-25,722.96,727.37,715.53,717.85,33603702.0
2022-07-26,717.85,726.21,712.74,720.64,28580432.0
2022-07-27,715.99,722.26,713.44,713.9,28325781.0
2022-07-28,713.9,756.65,713.9,749.91,96688569.0
2022-07-29,745.96,765.01,737.13,738.76,56194083.0
2022-08-01,736.67,773.37,723.89,764.54,74279958.0
2022-08-02,755.02,762.92,732.02,745.49,64830658.0
2022-08-03,749.21,760.59,719.24,722.26,65308505.0
2022-08-04,724.82,757.34,724.82,742.47,56474517.0
2022-08-05,744.57,773.14,733.18,773.14,93023319.0
2022-08-08,773.14,779.88,761.52,767.8,54997134.0
2022-08-09,766.63,766.63,745.26,755.25,60448348.0
2022-08-10,748.05,761.76,738.76,746.66,45611288.0
2022-08-11,753.16,821.23,750.61,821.23,176827640.0
2022-08-12,836.33,847.02,822.62,831.68,164690397.0
2022-08-15,823.55,834.24,810.77,820.3,85550948.0
2022-08-16,820.53,830.75,803.11,826.11,82516595.0
2022-08-17,824.71,881.86,810.54,859.33,145658216.0
2022-08-18,858.63,889.06,848.87,873.96,108344408.0
2022-08-19,874.2,882.79,847.94,847.94,77682046.0
2022-08-22,856.77,894.41,846.09,869.78,86942531.0
2022-08-23,864.21,868.39,846.09,853.06,61789300.0
2022-08-24,847.94,848.87,801.95,805.9,97798350.0
2022-08-25,805.9,817.74,795.67,815.89,50719026.0
2022-08-26,829.36,834.01,790.33,791.72,70107488.0
2022-08-29,770.12,807.29,767.1,797.76,70174156.0
2022-08-30,766.63,787.08,745.49,753.16,104640153.0
2022-08-31,753.16,762.92,739.69,754.55,66925664.0
2022-09-01,745.73,754.09,732.25,734.58,49588761.0
2022-09-02,742.24,766.4,735.27,757.11,59566635.0
2022-09-05,757.11,760.13,741.31,750.61,40011690.0
2022-09-06,751.3,755.48,737.6,755.48,49778362.0
2022-09-07,747.12,765.94,740.15,765.71,63201142.0
2022-09-08,765.71,771.28,752.93,753.16,49346854.0
2022-09-09,748.75,756.88,742.24,753.39,29579866.0
2022-09-13,763.85,777.09,758.74,760.36,46313186.0
2022-09-14,743.4,760.13,738.99,755.25,37339069.0
2022-09-15,758.27,771.75,741.78,761.06,51240489.0
2022-09-16,755.25,768.26,743.17,744.8,46691888.0
2022-09-19,748.05,758.5,743.17,748.05,31695050.0
2022-09-20,750.61,754.79,713.67,719.71,71347841.0
2022-09-21,712.74,712.74,685.33,685.33,64886616.0
2022-09-22,669.06,683.0,660.0,674.87,61140374.0
2022-09-23,673.71,675.57,644.44,646.99,60224617.0
2022-09-26,638.63,657.68,635.84,649.08,37629188.0
2022-09-27,655.12,663.49,650.71,663.49,37916769.0
2022-09-28,661.86,661.86,624.23,624.23,62024127.0
2022-09-29,631.89,645.6,628.64,634.91,46439189.0
2022-09-30,627.25,633.75,615.17,615.63,39194075.0
2022-10-10,612.15,612.61,581.25,583.11,59304069.0
2022-10-11,583.57,590.54,576.14,578.46,38942824.0
2022-10-12,576.14,589.38,557.78,588.45,65686126.0
2022-10-13,580.78,599.37,578.93,585.89,48871718.0
2022-10-14,593.79,617.49,588.91,615.4,68412109.0
2022-10-17,606.8,619.58,605.18,615.86,52450107.0
2022-10-18,622.6,626.78,602.16,607.27,50814226.0
2022-10-19,604.25,607.27,592.4,592.4,41668753.0
2022-10-20,591.94,610.52,584.27,601.46,51898010.0
2022-10-21,599.6,601.69,580.78,583.11,42672246.0
2022-10-24,581.25,596.35,564.29,567.31,47957580.0
2022-10-25,567.31,571.26,550.35,556.86,50865651.0
2022-10-26,560.11,575.67,557.32,565.68,52067388.0
2022-10-27,569.4,581.71,561.04,564.06,57591461.0
2022-10-28,534.32,534.32,507.61,507.61,105029523.0
2022-10-31,497.85,516.2,493.2,503.66,109400476.0
2022-11-01,512.25,532.7,498.31,529.44,105550019.0
2022-11-02,580.32,582.41,564.52,568.24,211857800.0
2022-11-03,557.55,563.13,532.93,540.13,161967904.0
2022-11-04,536.64,559.18,536.41,554.3,130043557.0
2022-11-07,558.71,568.01,550.12,555.93,136927824.0
2022-11-08,548.26,554.76,529.91,534.79,143931958.0
2022-11-09,481.35,481.35,481.35,481.35,29151900.0
2022-11-10,433.26,433.26,433.26,433.26,17383700.0
2022-11-11,390.52,414.91,390.52,401.9,535354700.0
2022-11-14,391.68,434.19,389.36,418.86,390497559.0
2022-11-15,418.16,439.54,411.66,438.61,329728357.0
2022-11-16,438.61,450.69,431.64,441.16,233177478.0
2022-11-17,439.07,443.72,426.53,442.56,173030308.0
2022-11-18,444.88,446.74,429.32,429.32,149808874.0
2022-11-21,424.2,432.57,420.02,430.01,101034827.0
2022-11-22,429.55,435.59,422.35,423.28,107722170.0
2022-11-23,418.63,423.28,413.05,420.49,104111023.0
2022-11-24,421.88,426.3,415.38,417.0,79322038.0
2022-11-25,417.0,419.56,407.71,409.1,85468803.0
2022-11-28,404.69,409.1,400.04,405.39,80030652.0
2022-11-29,406.32,419.09,406.08,416.31,97807756.0
2022-11-30,414.91,425.6,413.52,421.42,104759671.0
2022-12-01,425.83,428.85,416.54,417.0,126090787.0
2022-12-02,413.98,420.02,412.82,415.61,69896608.0
2022-12-05,403.3,426.76,392.15,424.44,234365950.0
2022-12-06,426.3,435.36,421.65,426.06,170801024.0
2022-12-07,425.13,429.55,419.56,420.49,103922278.0
2022-12-08,418.86,420.02,410.5,411.43,110985599.0
2022-12-09,411.43,413.98,406.55,409.1,79525497.0
2022-12-12,407.48,424.67,404.23,420.26,123447157.0
2022-12-13,420.95,422.35,408.87,409.1,86858472.0
2022-12-14,410.73,412.12,401.44,402.13,84531177.0
2022-12-15,399.58,424.2,398.19,416.07,157039098.0
2022-12-16,411.66,416.31,406.55,410.03,72544822.0
2022-12-19,406.55,423.04,403.06,404.69,138952717.0
2022-12-20,401.67,427.46,397.49,415.61,183974105.0
2022-12-21,411.66,418.86,401.21,406.08,127494148.0
2022-12-22,405.39,410.73,401.21,402.83,87320996.0
2022-12-23,398.88,400.51,388.89,390.75,87536404.0
2022-12-26,388.43,408.17,384.01,403.06,115201037.0
2022-12-27,403.06,409.57,400.51,408.17,78284549.0
2022-12-28,406.78,408.64,397.49,397.72,67691550.0
2022-12-29,397.72,400.04,391.45,391.91,73569263.0
2022-12-30,394.0,395.17,389.13,390.98,51984468.0
2023-01-03,390.98,411.2,384.48,404.46,127632960.0
2023-01-04,403.06,406.78,390.05,393.07,113779951.0
2023-01-05,393.31,432.34,393.31,432.34,310983600.0
2023-01-06,438.61,440.47,421.65,424.2,253964584.0
2023-01-09,425.37,433.5,422.81,426.53,137810730.0
2023-01-10,429.78,430.94,420.95,424.67,105621194.0
2023-01-11,423.74,433.96,415.38,415.38,151202113.0
2023-01-12,417.93,433.03,413.52,424.67,168384771.0
2023-01-13,423.04,423.28,416.07,419.79,108036212.0
