code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,stage_3_reached,avg_stage,signal_distribution,data_start,data_end,data_bars,error,signals,trade_log
sz.300502,2016-03-03,1402894.9,40.29,0.405,6.13,33.85,1,1,0,100.0,3,1,17.0,40.29,40.29,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=26.05)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 15.6154, 'stage': 1, 'stage_name': '试仓(6000股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 16.4685, 'stage': 2, 'stage_name': '确认(加15700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 16.4685, 'stage': 3, 'stage_name': '满仓(加26200股)'}, {'date': '2023-04-13', 'type': 'sell', 'signal': '移动止损(最高=26.05)', 'price': 24.1678, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-14', 'entry_price': 16.12433235908142, 'exit_stage': 3, 'pnl': 402894.9, 'return_pct': 40.29, 'hold_days': 12}]"
sh.600415,2002-05-09,1267905.57,26.79,0.319,5.92,23.74,1,1,0,100.0,3,1,27.0,26.79,26.79,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=7.23)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 5.0138, 'stage': 1, 'stage_name': '试仓(18900股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 5.0865, 'stage': 2, 'stage_name': '确认(加50700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 5.0865, 'stage': 3, 'stage_name': '满仓(加84500股)'}, {'date': '2023-04-21', 'type': 'sell', 'signal': '移动止损(最高=7.23)', 'price': 6.7214, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-24', 'entry_price': 5.11629922128488, 'exit_stage': 3, 'pnl': 267905.57, 'return_pct': 26.79, 'hold_days': 18}]"
sh.600066,1997-05-08,1217894.2,21.79,0.259,6.27,19.71,1,1,0,100.0,3,1,115.0,21.79,21.79,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=12.42)': 1}",2023-01-03,2026-08-13,874,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 8.1696, 'stage': 1, 'stage_name': '试仓(11600股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 9.1736, 'stage': 2, 'stage_name': '确认(加28000股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 9.1736, 'stage': 3, 'stage_name': '满仓(加46700股)'}, {'date': '2023-07-20', 'type': 'sell', 'signal': '移动止损(最高=12.42)', 'price': 11.4829, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-07-21', 'entry_price': 9.094519466975667, 'exit_stage': 3, 'pnl': 217894.2, 'return_pct': 21.79, 'hold_days': 76}]"
sh.688012,2019-07-22,1186332.36,18.63,0.206,6.11,17.09,1,1,0,100.0,3,1,17.0,18.63,18.63,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=120.20)': 1}",2023-01-03,2026-08-13,866,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 85.6561, 'stage': 1, 'stage_name': '试仓(1100股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 93.3806, 'stage': 2, 'stage_name': '确认(加2700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 93.3806, 'stage': 3, 'stage_name': '满仓(加4600股)'}, {'date': '2023-04-13', 'type': 'sell', 'signal': '移动止损(最高=120.20)', 'price': 111.2243, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-14', 'entry_price': 92.32343928571429, 'exit_stage': 3, 'pnl': 186332.36, 'return_pct': 18.63, 'hold_days': 12}]"
sh.688256,2020-07-20,1143707.54,14.37,0.095,6.99,13.43,1,1,0,100.0,3,1,14.0,14.37,14.37,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=151.22)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 124.9931, 'stage': 1, 'stage_name': '试仓(700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 118.0927, 'stage': 2, 'stage_name': '确认(加2100股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 118.0927, 'stage': 3, 'stage_name': '满仓(加3600股)'}, {'date': '2023-04-10', 'type': 'sell', 'signal': '移动止损(最高=151.22)', 'price': 139.2099, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-11', 'entry_price': 115.214859375, 'exit_stage': 3, 'pnl': 143707.54, 'return_pct': 14.37, 'hold_days': 9}]"
sh.601288,2010-07-15,1122651.71,12.27,0.012,6.18,11.57,1,1,0,100.0,3,1,43.0,12.27,12.27,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=3.20)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-28', 'type': 'buy', 'signal': '均线多头排列', 'price': 2.5426, 'stage': 1, 'stage_name': '试仓(37300股)'}, {'date': '2023-03-31', 'type': 'buy', 'signal': '确认加仓', 'price': 2.559, 'stage': 2, 'stage_name': '确认(加100800股)'}, {'date': '2023-03-31', 'type': 'buy', 'signal': '趋势满仓', 'price': 2.559, 'stage': 3, 'stage_name': '满仓(加168000股)'}, {'date': '2023-05-10', 'type': 'sell', 'signal': '移动止损(最高=3.20)', 'price': 2.9704, 'stage': 3}]","[{'entry_date': '2023-03-29', 'exit_date': '2023-05-11', 'entry_price': 2.5559901666122187, 'exit_stage': 3, 'pnl': 122651.71, 'return_pct': 12.27, 'hold_days': 27}]"
sh.600489,2003-08-14,1121358.71,12.14,0.006,6.77,11.45,1,1,0,100.0,3,1,28.0,12.14,12.14,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=11.18)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 9.2155, 'stage': 1, 'stage_name': '试仓(10300股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 8.9421, 'stage': 2, 'stage_name': '确认(加28800股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 8.9421, 'stage': 3, 'stage_name': '满仓(加48100股)'}, {'date': '2023-04-24', 'type': 'sell', 'signal': '移动止损(最高=11.18)', 'price': 10.2547, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-25', 'entry_price': 9.043972477064221, 'exit_stage': 3, 'pnl': 121358.71, 'return_pct': 12.14, 'hold_days': 19}]"
sh.600011,2001-12-06,1095142.31,9.51,-0.151,6.12,9.09,1,1,0,100.0,3,1,46.0,9.51,9.51,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=9.00)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-30', 'type': 'buy', 'signal': '均线多头排列', 'price': 7.6218, 'stage': 1, 'stage_name': '试仓(12400股)'}, {'date': '2023-04-04', 'type': 'buy', 'signal': '确认加仓', 'price': 7.4252, 'stage': 2, 'stage_name': '确认(加34700股)'}, {'date': '2023-04-04', 'type': 'buy', 'signal': '趋势满仓', 'price': 7.4252, 'stage': 3, 'stage_name': '满仓(加57900股)'}, {'date': '2023-05-15', 'type': 'sell', 'signal': '移动止损(最高=9.00)', 'price': 8.3187, 'stage': 3}]","[{'entry_date': '2023-03-31', 'exit_date': '2023-05-16', 'entry_price': 7.414731428571429, 'exit_stage': 3, 'pnl': 95142.31, 'return_pct': 9.51, 'hold_days': 28}]"
sz.002463,2010-08-18,1093893.87,9.39,-0.161,7.09,8.97,1,1,0,100.0,3,1,15.0,9.39,9.39,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=24.68)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-27', 'type': 'buy', 'signal': '均线多头排列', 'price': 21.6312, 'stage': 1, 'stage_name': '试仓(4300股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '确认加仓', 'price': 20.2607, 'stage': 2, 'stage_name': '确认(加12700股)'}, {'date': '2023-03-30', 'type': 'buy', 'signal': '趋势满仓', 'price': 20.2607, 'stage': 3, 'stage_name': '满仓(加21300股)'}, {'date': '2023-04-11', 'type': 'sell', 'signal': '移动止损(最高=24.68)', 'price': 22.6471, 'stage': 3}]","[{'entry_date': '2023-03-28', 'exit_date': '2023-04-12', 'entry_price': 20.028412010443862, 'exit_stage': 3, 'pnl': 93893.87, 'return_pct': 9.39, 'hold_days': 10}]"
sz.301165,2022-11-21,1081484.39,8.15,-0.273,7.14,7.83,1,1,0,100.0,3,1,15.0,8.15,8.15,1,3.0,"{'均线多头排列': 1, '确认加仓': 1, '趋势满仓': 1, '移动止损(最高=31.54)': 1}",2023-01-03,2026-08-13,875,,"[{'date': '2023-03-29', 'type': 'buy', 'signal': '均线多头排列', 'price': 25.5005, 'stage': 1, 'stage_name': '试仓(3700股)'}, {'date': '2023-04-03', 'type': 'buy', 'signal': '确认加仓', 'price': 26.3636, 'stage': 2, 'stage_name': '确认(加9700股)'}, {'date': '2023-04-03', 'type': 'buy', 'signal': '趋势满仓', 'price': 26.3636, 'stage': 3, 'stage_name': '满仓(加16300股)'}, {'date': '2023-04-13', 'type': 'sell', 'signal': '移动止损(最高=31.54)', 'price': 29.0745, 'stage': 3}]","[{'entry_date': '2023-03-30', 'exit_date': '2023-04-14', 'entry_price': 25.96898148148148, 'exit_stage': 3, 'pnl': 81484.39, 'return_pct': 8.15, 'hold_days': 10}]"
