date,pe,pb,roe
2025-01-02,47.18165567,4.69105429,
2025-01-03,44.95926005,4.47009175,
2025-01-06,44.32990908,4.40751828,
2025-01-07,45.25426832,4.49942306,
2025-01-08,44.36924351,4.41142912,
2025-01-09,44.23157299,4.39774118,
2025-01-10,43.0318727,4.27846052,
2025-01-13,43.50388592,4.32539061,
2025-01-14,46.92598183,4.66563382,
2025-01-15,45.86395207,4.5600411,
2025-01-16,46.00162259,4.57372904,
2025-01-17,46.09995868,4.58350615,
2025-01-20,46.23762921,4.59719409,
2025-01-21,46.90631462,4.6636784,
2025-01-22,46.55230469,4.62848082,
2025-01-23,46.670308,4.64021335,
2025-01-24,47.37832784,4.71060849,
2025-01-27,45.11659779,4.48573511,
2025-02-05,45.21493388,4.49551221,
2025-02-06,46.59163913,4.63239166,
2025-02-07,47.75200498,4.74776149,
2025-02-10,47.87000829,4.75949401,
2025-02-11,47.08331958,4.68127718,
2025-02-12,48.26335265,4.79860242,
2025-02-13,47.51599837,4.72429644,
2025-02-14,47.63400168,4.73602896,
2025-02-17,47.92900995,4.76536027,
2025-02-18,45.88361929,4.56199652,
2025-02-19,46.84731296,4.65781213,
2025-02-20,46.35563252,4.60892662,
2025-02-21,47.88967551,4.76144943,
2025-02-24,47.4373295,4.71647476,
2025-02-25,46.61130635,4.63434709,
2025-02-26,47.9880116,4.77122653,
2025-02-27,47.45699672,4.71843018,
2025-02-28,45.68694711,4.54244231,
2025-03-03,45.13626501,4.48769053,
2025-03-04,45.19526666,4.49355679,
2025-03-05,45.19526666,4.49355679,
2025-03-06,47.06365236,4.67932176,
2025-03-07,46.04095703,4.57763988,
2025-03-10,45.76561598,4.55026399,
2025-03-11,45.98195538,4.57177362,
2025-03-12,46.43430139,4.6167483,
2025-03-13,45.92295372,4.56590736,
2025-03-14,48.04701325,4.7770928,
2025-03-17,39.55370312,4.70865307,
2025-03-18,39.6358329,4.71843018,
2025-03-19,39.47157333,4.69887597,
2025-03-20,39.11020229,4.65585671,
2025-03-21,38.22320064,4.55026399,
2025-03-24,38.22320064,4.55026399,
2025-03-25,37.66471812,4.48377969,
2025-03-26,37.73042195,4.49160137,
2025-03-27,37.74684791,4.49355679,
2025-03-28,37.77969982,4.49746764,
2025-03-31,37.08980965,4.28012556,
2025-04-01,36.4656233,4.2080951,
2025-04-02,36.85984626,4.25358802,
2025-04-03,36.87627222,4.25548356,
2025-04-07,31.7513738,3.6640756,
2025-04-08,32.35913419,3.73421052,
2025-04-09,33.67321071,3.88585359,
2025-04-10,33.67321071,3.88585359,
2025-04-11,33.80461836,3.90101789,
2025-04-14,33.83747027,3.90480897,
2025-04-15,33.57465497,3.87448036,
2025-04-16,33.37754349,3.8517339,
2025-04-17,33.2625618,3.83846513,
2025-04-18,33.6403588,3.88206251,
2025-04-21,33.88674814,3.91049559,
2025-04-22,33.75534049,3.89533128,
2025-04-23,33.87032219,3.90860005,
2025-04-24,33.6403588,3.88206251,
2025-04-25,34.00172984,3.92376435,
2025-04-28,31.29296711,3.89722682,
2025-04-29,31.18642491,3.88395805,
2025-04-30,31.30818743,3.89912236,
2025-05-06,31.94744064,3.97873497,
2025-05-07,32.34316883,4.02801896,
2025-05-08,32.29750788,4.02233235,
2025-05-09,31.70391561,3.94840635,
2025-05-12,33.05852362,4.11710926,
2025-05-13,32.64757512,4.06592973,
2025-05-14,34.29136911,4.27064787,
2025-05-15,33.21072677,4.13606465,
2025-05-16,32.76933764,4.08109404,
2025-05-19,32.7236767,4.07540742,
2025-05-20,32.75411733,4.0791985,
2025-05-21,32.57915976,4.05740928,
2025-05-22,32.35058755,4.02894289,
2025-05-23,31.6648709,3.94354372,
2025-05-26,31.6953472,3.94733924,
2025-05-27,31.52772757,3.92646389,
2025-05-28,31.23820277,3.89040646,
2025-05-29,31.77153794,3.95682804,
2025-05-30,31.42106054,3.91317958,
2025-06-03,31.48201313,3.92077061,
2025-06-04,31.90868126,3.97390787,
2025-06-05,32.19820607,4.0099653,
2025-06-06,31.83249053,3.96441907,
2025-06-09,32.70106494,4.07259135,
2025-06-10,31.95439571,3.97960115,
2025-06-11,32.74677939,4.07828463,
2025-06-12,32.99058975,4.10864878,
2025-06-13,32.50296902,4.04792048,
2025-06-16,33.11249493,4.12383085,
2025-06-17,33.08201864,4.12003533,
2025-06-18,32.76201754,4.08018239,
2025-06-19,31.89344312,3.97201011,
2025-06-20,31.55820387,3.93025941,
2025-06-23,31.89344312,3.97201011,
2025-06-24,33.23440011,4.13901293,
2025-06-25,36.57155446,4.5546222,
2025-06-26,35.24583561,4.38951715,
2025-06-27,35.10869228,4.37243731,
2025-06-30,35.24583561,4.27129695,
2025-07-01,34.86488192,4.22513075,
2025-07-02,34.60583341,4.19373773,
2025-07-03,34.86488192,4.22513075,
2025-07-04,34.74297674,4.21035757,
2025-07-07,34.666786,4.20112433,
2025-07-08,35.2763119,4.27499025,
2025-07-09,34.94107266,4.23436399,
2025-07-10,35.2763119,4.27499025,
2025-07-11,36.35822039,4.40610226,
2025-07-14,35.99250485,4.36178271,
2025-07-15,35.85536152,4.34516288,
2025-07-16,35.68774189,4.32484975,
2025-07-17,35.96202855,4.35808941,
2025-07-18,35.84012337,4.34331623,
2025-07-21,35.58107486,4.31192321,
2025-07-22,35.87059966,4.34700952,
2025-07-23,36.12964818,4.37840254,
2025-07-24,37.05917518,4.49104807,
2025-07-25,36.55631631,4.43010869,
2025-07-28,36.75441223,4.45411511,
2025-07-29,36.84584112,4.465195,
2025-07-30,36.28202965,4.39686902,
2025-07-31,35.39821709,4.28976343,
2025-08-01,35.3067882,4.27868355,
2025-08-04,35.58107486,4.31192321,
2025-08-05,36.00774299,4.36362936,
2025-08-06,36.00774299,4.36362936,
2025-08-07,35.87059966,4.34700952,
2025-08-08,35.35250264,4.28422349,
2025-08-11,36.2667915,4.39502237,
2025-08-12,36.55631631,4.43010869,
2025-08-13,37.45536702,4.53906092,
2025-08-14,37.12012778,4.49843466,
2025-08-15,40.77728322,4.9416302,
2025-08-18,39.57510312,5.14291484,
2025-08-19,38.22514449,4.96748327,
2025-08-20,38.48092613,5.00072294,
2025-08-21,38.08304358,4.94901679,
2025-08-22,39.57510312,5.14291484,
2025-08-25,40.11508658,5.21308746,
2025-08-26,39.68878385,5.15768802,
2025-08-27,38.66565731,5.02472936,
2025-08-28,39.73141412,5.16322796,
2025-08-29,41.08137276,5.33865953,
2025-09-01,40.76875076,5.29803327,
2025-09-02,39.57510312,5.14291484,
2025-09-03,37.84147204,4.91762377,
2025-09-04,37.24464822,4.84006455,
2025-09-05,37.79884176,4.91208383,
2025-09-08,37.54306013,4.87884416,
2025-09-09,37.21622804,4.83637126,
2025-09-10,37.21622804,4.83637126,
2025-09-11,38.75091785,5.03580925,
2025-09-12,38.29619494,4.97671651,
2025-09-15,38.66565731,5.02472936,
2025-09-16,39.37616185,5.11706176,
2025-09-17,40.0866664,5.20939417,
2025-09-18,38.18251422,4.96194333,
2025-09-19,37.72779131,4.90285059,
2025-09-22,38.2109344,4.96563662,
2025-09-23,37.1167574,4.82344472,
2025-09-24,37.5856904,4.88438411,
2025-09-25,37.61411058,4.8880774,
2025-09-26,37.03149686,4.81236483,
2025-09-29,39.19143067,5.09305534,
2025-09-30,38.53776649,4.82235542,
2025-10-09,38.02620322,4.75834185,
2025-10-10,37.07412713,4.63920549,
2025-10-13,36.40625286,4.55563222,
2025-10-14,35.75258868,4.47383711,
2025-10-15,36.29257213,4.54140698,
2025-10-16,36.12205104,4.52006913,
2025-10-17,35.32628595,4.42049247,
2025-10-20,35.5536474,4.44894294,
2025-10-21,36.03679049,4.5094002,
2025-10-22,35.69574831,4.46672449,
2025-10-23,36.19310149,4.5289599,
2025-10-24,36.8041354,4.60542055,
2025-10-27,32.49251853,4.63031472,
2025-10-28,32.44260683,4.6232021,
2025-10-29,33.05402519,4.71033168,
2025-10-30,31.98092358,4.55741038,
2025-10-31,31.81871055,4.53429436,
2025-11-03,31.8935781,4.54496329,
2025-11-04,31.51924033,4.49161865,
2025-11-05,31.51924033,4.49161865,
2025-11-06,31.83118847,4.53607252,
2025-11-07,31.36950522,4.4702808,
2025-11-10,31.69393129,4.51651282,
2025-11-11,31.10746878,4.43293955,
2025-11-12,30.80799856,4.39026384,
2025-11-13,31.3570273,4.46850264,
2025-11-14,30.62082968,4.36359152,
2025-11-17,30.5833959,4.35825705,
2025-11-18,30.55844005,4.35470074,
2025-11-19,30.35879324,4.32625027,
2025-11-20,30.03436717,4.28001825,
2025-11-21,29.07356689,4.14310034,
2025-11-24,29.23577993,4.16621635,
2025-11-25,29.223302,4.1644382,
2025-11-26,29.12347859,4.15021296,
2025-11-27,29.07356689,4.14310034,
2025-11-28,29.19834615,4.16088189,
2025-12-01,28.81153045,4.10575909,
2025-12-02,28.21259002,4.02040767,
2025-12-03,27.73842884,3.95283779,
2025-12-04,27.93807565,3.98128827,
2025-12-05,29.08604482,4.1448785,
2025-12-08,29.49781637,4.2035576,
2025-12-09,29.04861104,4.13954403,
2025-12-10,29.06108897,4.14132219,
2025-12-11,28.49958231,4.06130523,
2025-12-12,28.72418497,4.09331201,
2025-12-15,28.51206023,4.06308338,
2025-12-16,28.21259002,4.02040767,
2025-12-17,28.81153045,4.10575909,
2025-12-18,28.52453816,4.06486154,
2025-12-19,28.69922912,4.0897557,
2025-12-22,28.79905253,4.10398094,
2025-12-23,28.72418497,4.09331201,
2025-12-24,28.94878763,4.12531879,
2025-12-25,29.12347859,4.15021296,
2025-12-26,29.46038259,4.19822314,
2025-12-29,29.13595652,4.15199111,
2025-12-30,29.23577993,4.16621635,
2025-12-31,28.92383178,3.98732752,
2026-01-05,29.63507355,4.08537655,
2026-01-06,31.33207144,4.31931811,
2026-01-07,30.60835175,4.21954892,
2026-01-08,29.94702169,4.12838052,
2026-01-09,30.10923472,4.15074258,
2026-01-12,31.25720389,4.30899716,
2026-01-13,30.55844005,4.21266828,
2026-01-14,30.84543234,4.25223193,
2026-01-15,30.02188924,4.13870147,
2026-01-16,29.80976451,4.10945877,
2026-01-19,29.32312541,4.04237259,
2026-01-20,29.24825785,4.03205164,
2026-01-21,29.08604482,4.00968958,
2026-01-22,29.08604482,4.00968958,
2026-01-23,29.07356689,4.00796942,
2026-01-26,29.08604482,4.00968958,
2026-01-27,28.57444986,3.93916308,
2026-01-28,28.42471475,3.91852117,
2026-01-29,28.87392008,3.98044688,
2026-01-30,28.32489135,3.9047599,
2026-02-02,28.11276661,3.87551721,
2026-02-03,28.32489135,3.9047599,
2026-02-04,28.56197194,3.93744292,
2026-02-05,28.61188364,3.94432355,
2026-02-06,28.27497965,3.89787927,
2026-02-09,28.63683949,3.94776387,
2026-02-10,28.56197194,3.93744292,
2026-02-11,28.41223683,3.91680101,
2026-02-12,28.27497965,3.89787927,
2026-02-13,27.9131198,3.84799467,
2026-02-24,27.9630315,3.85487531,
2026-02-25,28.37480305,3.91164054,
2026-02-26,28.07533283,3.87035673,
2026-02-27,28.10028869,3.87379705,
2026-03-02,27.38904692,3.77574801,
2026-03-03,27.00223122,3.7224231,
2026-03-04,26.22859983,3.61577327,
2026-03-05,26.31594531,3.62781438,
2026-03-06,26.90240782,3.70866183,
2026-03-09,26.49063627,3.6518966,
2026-03-10,26.6528493,3.67425866,
2026-03-11,26.79010649,3.6931804,
2026-03-12,26.6528493,3.67425866,
2026-03-13,26.32842324,3.62953454,
2026-03-16,26.46568042,3.64845628,
2026-03-17,26.90240782,3.70866183,
2026-03-18,26.84001819,3.70006104,
2026-03-19,26.61541553,3.66909818,
2026-03-20,26.43031089,3.47644043,
2026-03-23,25.6456406,3.37323091,
2026-03-24,25.85488601,3.40075345,
2026-03-25,26.02489791,3.42311551,
2026-03-26,25.00482653,3.28894314,
2026-03-27,25.12252707,3.30442457,
2026-03-30,24.93943734,3.28034235,
2026-03-31,24.70403625,3.12241246,
2026-04-01,25.0963714,3.1720008,
2026-04-02,24.52094652,3.09927124,
2026-04-03,24.16784489,3.05464173,
2026-04-07,24.12861137,3.0496829,
2026-04-08,25.48870654,3.22158914,
2026-04-09,24.78250328,3.13233013,
2026-04-10,25.84180817,3.26621865,
2026-04-13,26.16875413,3.30754226,
2026-04-14,26.35184386,3.33068349,
2026-04-15,25.95950871,3.28109515,
2026-04-16,26.23414332,3.31580699,
2026-04-17,26.20798764,3.3125011,
2026-04-20,26.35184386,3.33068349,
2026-04-21,26.07720926,3.29597165,
2026-04-22,26.39107737,3.33564232,
2026-04-23,26.01182007,3.28770693,
2026-04-24,25.76334114,3.25630098,
2026-04-27,24.09066785,3.30258343,
2026-04-28,24.30770089,3.33233643,
2026-04-29,24.4282748,3.34886588,
2026-04-30,24.54884872,3.36539533,
2026-05-06,25.13966089,3.44638961,
2026-05-07,24.99497219,3.42655428,
2026-05-08,24.7055948,3.38688361,
2026-05-11,25.65812872,3.51746623,
2026-05-12,25.64607133,3.51581329,
2026-05-13,25.41698089,3.48440734,
2026-05-14,24.33181567,3.33564232,
2026-05-15,23.78923306,3.26125981,
2026-05-18,23.83746263,3.26787159,
