date,open,high,low,close,volume
2025-01-02,424.46,427.27,399.0,401.93,16742519.0
2025-01-03,399.9,405.7,380.47,380.53,15779447.0
2025-01-06,373.78,384.83,367.32,370.67,11728995.0
2025-01-07,382.56,396.31,380.35,391.23,15454383.0
2025-01-08,388.18,393.8,373.95,388.54,12855172.0
2025-01-09,382.74,416.04,382.74,406.83,18573945.0
2025-01-10,400.2,409.76,393.98,394.1,11796300.0
2025-01-13,400.5,405.7,386.03,386.87,9577323.0
2025-01-14,386.21,404.56,385.73,404.56,13595373.0
2025-01-15,402.71,405.87,396.97,397.98,8097000.0
2025-01-16,400.08,403.84,394.4,395.41,8256211.0
2025-01-17,398.22,427.51,393.86,414.84,18651310.0
2025-01-20,419.2,438.21,418.73,431.82,16091753.0
2025-01-21,435.16,435.52,419.62,429.19,11538979.0
2025-01-22,428.65,428.65,413.65,419.98,9205188.0
2025-01-23,420.46,426.68,405.87,406.23,12711510.0
2025-01-24,406.47,416.57,402.65,409.64,9716710.0
2025-01-27,409.64,412.39,393.44,394.52,10044945.0
2025-02-05,396.91,397.63,385.55,391.95,8732871.0
2025-02-06,393.8,418.43,390.33,417.59,17204724.0
2025-02-07,417.59,424.94,411.25,419.09,15311391.0
2025-02-10,419.14,430.08,418.01,423.81,13203300.0
2025-02-11,424.46,429.19,416.87,418.43,10252343.0
2025-02-12,415.44,422.91,415.02,422.61,8925065.0
2025-02-13,423.99,438.57,419.09,432.18,19602146.0
2025-02-14,429.73,442.22,424.82,431.46,16359576.0
2025-02-17,442.22,442.22,388.6,406.53,17537251.0
2025-02-18,406.47,406.53,380.41,382.68,17954337.0
2025-02-19,376.58,401.09,376.58,393.92,12657189.0
2025-02-20,389.97,394.52,383.88,391.53,11160587.0
2025-02-21,388.54,398.46,386.27,393.32,12382876.0
2025-02-24,394.88,394.88,385.55,387.34,10196162.0
2025-02-25,382.56,386.15,381.31,381.49,8796572.0
2025-02-26,381.9,383.16,377.48,379.39,8780504.0
2025-02-27,379.39,385.13,370.61,375.45,9911691.0
2025-02-28,372.1,374.85,365.83,365.83,9767246.0
2025-03-03,369.71,370.43,354.83,358.11,12113874.0
2025-03-04,358.17,380.71,357.58,376.53,16367935.0
2025-03-05,370.61,375.81,369.11,372.94,8467711.0
2025-03-06,372.88,378.38,370.79,376.53,9163718.0
2025-03-07,374.19,391.17,371.92,380.65,14777307.0
2025-03-10,380.17,389.62,376.82,377.96,8043843.0
2025-03-11,372.1,386.09,370.79,382.92,8651725.0
2025-03-12,381.96,386.15,376.58,377.9,9138668.0
2025-03-13,377.54,378.86,369.41,371.5,6348487.0
2025-03-14,370.61,376.05,368.1,373.84,6594688.0
2025-03-17,373.72,378.38,372.46,374.67,5317950.0
2025-03-18,375.39,376.47,370.91,374.07,4856562.0
2025-03-19,372.58,373.9,368.1,368.93,4977242.0
2025-03-20,368.87,378.44,367.08,371.68,6655795.0
2025-03-21,368.22,374.55,365.11,365.41,6958606.0
2025-03-24,366.72,369.41,356.56,360.03,6003000.0
2025-03-25,359.85,366.72,358.59,363.37,5528203.0
2025-03-26,363.25,364.63,361.46,364.33,3757100.0
2025-03-27,363.31,367.02,360.8,366.72,4657022.0
2025-03-28,363.43,366.42,357.28,357.93,6909633.0
2025-03-31,353.87,357.88,351.48,352.67,5146423.0
2025-04-01,356.62,364.33,356.14,362.24,7909682.0
2025-04-02,359.85,363.43,356.74,357.99,4555029.0
2025-04-03,355.19,359.49,354.47,355.78,3462775.0
2025-04-07,340.72,349.27,301.27,307.13,14423402.0
2025-04-08,311.31,328.41,311.31,325.84,12030424.0
2025-04-09,323.27,356.86,322.19,354.35,17304310.0
2025-04-10,354.17,358.17,346.7,354.05,11919985.0
2025-04-11,349.75,355.36,346.04,351.66,9621084.0
2025-04-14,351.6,355.36,348.55,355.07,7731459.0
2025-04-15,353.99,354.77,348.07,350.16,6117062.0
2025-04-16,350.94,357.76,347.41,350.58,5366600.0
2025-04-17,350.76,354.65,349.57,350.88,4544000.0
2025-04-18,350.28,350.28,342.93,345.5,4635170.0
2025-04-21,345.5,353.51,345.32,349.81,5320495.0
2025-04-22,348.19,353.81,347.71,349.57,3811181.0
2025-04-23,349.98,353.45,349.21,352.5,4447536.0
2025-04-24,353.45,353.87,346.46,346.58,3976667.0
2025-04-25,348.31,358.53,346.46,355.07,7332700.0
2025-04-28,356.86,370.13,355.13,366.66,13517338.0
2025-04-29,346.7,357.99,343.71,347.35,11667584.0
2025-04-30,346.7,353.51,346.64,351.18,6997039.0
2025-05-06,354.47,356.56,349.81,354.05,8377507.0
2025-05-07,375.99,424.88,367.62,414.42,63844321.0
2025-05-08,418.43,497.33,414.48,497.33,95011613.0
2025-05-09,526.02,531.28,470.55,477.49,108291361.0
2025-05-12,466.25,573.01,464.34,573.01,108062850.0
2025-05-13,571.87,583.11,519.63,530.45,100251251.0
2025-05-14,532.0,558.9,518.73,540.07,78814092.0
2025-05-15,525.31,545.87,503.97,520.34,67149284.0
2025-05-16,514.07,535.89,511.08,514.55,49698110.0
2025-05-19,523.63,543.9,511.98,521.24,59284583.0
2025-05-20,510.36,515.86,479.58,479.94,62270105.0
2025-05-21,477.55,494.94,473.42,489.92,43346235.0
2025-05-22,487.11,511.68,481.79,483.34,48592243.0
2025-05-23,490.22,493.8,476.47,479.4,27857850.0
2025-05-26,480.06,482.21,469.24,473.72,20665805.0
2025-05-27,477.01,480.53,469.66,474.5,25714031.0
2025-05-28,469.77,476.89,462.72,465.35,25202262.0
2025-05-29,459.25,467.32,457.7,463.62,19508109.0
2025-05-30,465.29,466.91,454.53,458.72,20570979.0
2025-06-03,458.54,479.04,458.48,463.56,27884313.0
2025-06-04,460.33,465.53,456.98,461.53,16679292.0
2025-06-05,460.69,476.41,457.04,469.71,26290957.0
2025-06-06,482.99,516.1,479.1,488.19,44988092.0
2025-06-09,489.44,513.59,487.17,498.77,36620875.0
2025-06-10,490.58,490.64,474.62,477.19,26504859.0
2025-06-11,473.72,480.89,470.13,477.49,15080104.0
2025-06-12,473.0,478.02,470.55,472.82,12840687.0
2025-06-13,481.79,554.0,474.98,526.02,65844114.0
2025-06-16,520.05,544.55,506.24,524.83,48412788.0
2025-06-17,520.13,527.36,507.45,510.56,28775793.0
2025-06-18,511.04,561.26,509.85,531.67,46948883.0
2025-06-19,517.74,531.61,503.75,515.88,30724080.0
2025-06-20,506.86,512.3,495.56,498.49,19365349.0
2025-06-23,502.19,508.41,496.15,506.92,16608480.0
2025-06-24,487.84,497.83,478.2,483.62,27125172.0
2025-06-25,481.81,502.05,480.55,490.85,25121776.0
2025-06-26,490.61,506.69,487.84,494.58,24090002.0
2025-06-27,493.86,502.77,487.84,495.06,18986712.0
2025-06-30,503.37,543.85,502.95,529.63,39751445.0
2025-07-01,522.47,527.59,513.79,517.65,26236987.0
2025-07-02,511.93,516.02,503.74,506.51,15474270.0
2025-07-03,508.07,510.12,502.05,504.4,11289696.0
2025-07-04,504.4,515.42,499.94,508.31,15099572.0
2025-07-07,508.31,511.5,498.68,502.89,11212627.0
2025-07-08,500.18,503.98,500.18,503.01,9852645.0
2025-07-09,510.18,526.5,506.02,507.83,22909893.0
2025-07-10,501.69,501.93,491.15,500.84,16501898.0
2025-07-11,499.88,513.13,497.23,506.02,13620853.0
2025-07-14,505.78,509.88,500.84,504.88,8998058.0
2025-07-15,502.29,503.86,494.46,495.79,10946298.0
2025-07-16,494.76,499.76,493.2,497.41,8610752.0
2025-07-17,496.81,524.88,495.36,517.83,26922649.0
2025-07-18,513.85,526.98,511.32,521.5,23889580.0
2025-07-21,517.41,540.23,511.63,529.99,23090605.0
2025-07-22,524.57,535.96,516.2,522.35,18766278.0
2025-07-23,517.59,521.56,511.75,513.25,12954139.0
2025-07-24,511.75,527.95,511.75,518.31,12986781.0
2025-07-25,518.01,518.43,509.28,513.67,10083466.0
2025-07-28,513.49,522.47,512.59,516.44,13599678.0
2025-07-29,513.37,527.59,510.72,526.98,17734013.0
2025-07-30,526.98,533.07,505.18,511.87,18496536.0
2025-07-31,505.9,515.24,504.76,509.88,12401668.0
2025-08-01,508.31,508.31,495.54,495.67,12787210.0
2025-08-04,493.98,508.92,493.86,508.43,11739770.0
2025-08-05,508.37,517.95,504.82,510.6,12648074.0
2025-08-06,507.23,556.31,506.99,534.93,34454601.0
2025-08-07,528.85,532.89,516.2,519.82,20746648.0
2025-08-08,517.95,521.5,511.32,511.57,11957232.0
2025-08-11,510.6,518.43,510.12,512.71,11046589.0
2025-08-12,511.93,522.59,506.75,515.66,16027320.0
2025-08-13,512.23,519.27,511.69,516.14,13405842.0
2025-08-14,515.42,515.42,505.9,507.89,12153694.0
2025-08-15,508.61,510.96,505.96,510.6,11092571.0
2025-08-18,510.54,517.95,509.7,517.17,18524459.0
