stock_code,stock_name,weight
000001,平安银行,0.433
000002,万科A,0.087
000063,中兴通讯,0.418
000100,TCL科技,0.378
000157,中联重科,0.145
000166,申万宏源,0.162
000301,东方盛虹,0.119
000333,美的集团,1.634
000338,潍柴动力,0.577
000408,藏格矿业,0.243
000425,徐工机械,0.282
000538,云南白药,0.181
000568,泸州老窖,0.257
000596,古井贡酒,0.06
000617,中油资本,0.07
000625,长安汽车,0.15
000630,铜陵有色,0.192
000651,格力电器,0.727
000657,中钨高新,0.173
000708,中信特钢,0.058
000725,京东方A,0.769
000768,中航西飞,0.113
000776,广发证券,0.242
000792,盐湖股份,0.333
000807,云铝股份,0.213
000858,五 粮 液,0.581
000895,双汇发展,0.104
000938,紫光股份,0.306
000963,华东医药,0.098
000975,山金国际,0.149
000977,浪潮信息,0.283
000988,华工科技,0.368
000999,华润三九,0.066
001280,中国铀业,0.04
001391,国货航,0.025
001965,招商公路,0.079
001979,招商蛇口,0.096
002001,新和成,0.177
002027,分众传媒,0.218
002028,思源电气,0.374
002049,紫光国微,0.17
002050,三花智控,0.322
002074,国轩高科,0.119
002142,宁波银行,0.404
002179,中航光电,0.166
002202,金风科技,0.195
002230,科大讯飞,0.311
002236,大华股份,0.126
002241,歌尔股份,0.22
002304,洋河股份,0.099
