market,code,name,current_price,yesterday_close,open,volume,turnover,change_pct,change_amount,high,low,pe_ratio,pb_ratio,market_cap,time
sz,000001,平安银行,11.31,11.29,11.31,2670.0,302.0,0.02,0.18,11.31,11.31,5.1,11.31,11.31,20260811092500
sz,000002,万  科Ａ,3.24,3.25,3.24,6724.0,218.0,-0.01,-0.31,3.24,3.24,-0.44,3.24,3.24,20260811092500
sz,000063,中兴通讯,34.13,34.3,34.13,2948.0,1006.0,-0.17,-0.5,34.13,34.13,36.48,34.13,34.13,20260811092609
sz,000100,TCL科技,4.84,4.87,4.84,18463.0,894.0,-0.03,-0.62,4.84,4.84,19.89,4.84,4.84,20260811092500
sz,000157,中联重科,7.21,7.24,7.21,1376.0,99.0,-0.03,-0.41,7.21,7.21,14.39,7.21,7.21,20260811092612
sz,000166,申万宏源,4.56,4.56,4.56,1397.0,64.0,0.0,0.0,4.56,4.56,11.55,4.56,4.56,20260811092500
sz,000301,东方盛虹,13.52,13.53,13.52,828.0,112.0,-0.01,-0.07,13.52,13.52,72.97,13.52,13.52,20260811092609
sz,000333,美的集团,85.26,85.3,85.26,789.0,673.0,-0.04,-0.05,85.26,85.26,14.72,85.26,85.26,20260811092612
sz,000338,潍柴动力,32.0,32.08,32.0,3335.0,1067.0,-0.08,-0.25,32.0,32.0,24.46,32.0,32.0,20260811092615
sz,000408,藏格矿业,88.0,89.2,88.0,2705.0,2380.0,-1.2,-1.35,88.0,88.0,24.26,88.0,88.0,20260811092500
sz,000425,徐工机械,8.34,8.35,8.34,3923.0,327.0,-0.01,-0.12,8.34,8.34,14.82,8.34,8.34,20260811092500
sz,000538,云南白药,51.01,51.19,51.01,312.0,159.0,-0.18,-0.35,51.01,51.01,17.32,51.01,51.01,20260811092500
sz,000568,泸州老窖,90.56,90.75,90.56,519.0,470.0,-0.19,-0.21,90.56,90.56,13.4,90.56,90.56,20260811092500
sz,000596,古井贡酒,96.4,96.57,96.4,565.0,545.0,-0.17,-0.18,96.4,96.4,18.03,96.4,96.4,20260811092603
sz,000617,中油资本,7.18,7.16,7.18,1826.0,131.0,0.02,0.28,7.18,7.18,19.76,7.18,7.18,20260811092500
sz,000625,长安汽车,7.4,7.42,7.4,1756.0,130.0,-0.02,-0.27,7.4,7.4,23.87,7.4,7.4,20260811092609
sz,000630,铜陵有色,6.91,6.9,6.91,13330.0,921.0,0.01,0.14,6.91,6.91,35.23,6.91,6.91,20260811092615
sz,000651,格力电器,40.63,40.67,40.63,1314.0,534.0,-0.04,-0.1,40.63,40.63,7.8,40.63,40.63,20260811092500
sz,000657,中钨高新,69.02,72.8,69.02,10364.0,7153.0,-3.78,-5.19,69.02,69.02,80.69,69.02,69.02,20260811092500
sz,000708,中信特钢,13.92,13.93,13.92,418.0,58.0,-0.01,-0.07,13.92,13.92,11.6,13.92,13.92,20260811092500
sz,000725,京东方Ａ,5.82,5.89,5.82,136264.0,7931.0,-0.07,-1.19,5.82,5.82,36.23,5.82,5.82,20260811092600
sz,000768,中航西飞,21.3,21.54,21.3,3119.0,664.0,-0.24,-1.11,21.3,21.3,53.42,21.3,21.3,20260811092500
sz,000776,广发证券,20.92,20.92,20.92,3125.0,654.0,0.0,0.0,20.92,20.92,10.46,20.92,20.92,20260811092609
sz,000792,盐湖股份,29.36,29.5,29.36,1556.0,457.0,-0.14,-0.47,29.36,29.36,15.06,29.36,29.36,20260811092500
sz,000807,云铝股份,28.13,27.85,28.13,6886.0,1937.0,0.28,1.01,28.13,28.13,11.24,28.13,28.13,20260811092500
sz,000858,五 粮 液,76.16,76.19,76.16,2996.0,2282.0,-0.03,-0.04,76.16,76.16,23.46,76.16,76.16,20260811092500
sz,000895,双汇发展,24.94,24.95,24.94,473.0,118.0,-0.01,-0.04,24.94,24.94,16.43,24.94,24.94,20260811092500
sz,000938,紫光股份,37.62,37.63,37.62,12827.0,4826.0,-0.01,-0.03,37.62,37.62,50.64,37.62,37.62,20260811092500
sz,000963,华东医药,29.35,29.63,29.35,5388.0,1581.0,-0.28,-0.94,29.35,29.35,14.7,29.35,29.35,20260811092500
sz,000975,山金国际,27.5,27.14,27.5,5157.0,1418.0,0.36,1.33,27.5,27.5,20.77,27.5,27.5,20260811092600
sz,000977,浪潮信息,76.7,76.7,76.7,5361.0,4112.0,0.0,0.0,76.7,76.7,44.08,76.7,76.7,20260811092500
sz,000988,华工科技,103.41,103.68,103.41,4699.0,4859.0,-0.27,-0.26,103.41,103.41,61.19,103.41,103.41,20260811092500
sz,000999,华润三九,25.25,25.27,25.25,535.0,135.0,-0.02,-0.08,25.25,25.25,12.82,25.25,25.25,20260811092615
sz,001280,中国铀业,66.98,67.06,66.98,814.0,545.0,-0.08,-0.12,66.98,66.98,80.57,66.98,66.98,20260811092500
sz,001391,国货航,4.32,4.31,4.32,1184.0,51.0,0.01,0.23,4.32,4.32,21.28,4.32,4.32,20260811092609
sz,001965,招商公路,9.4,9.43,9.4,776.0,73.0,-0.03,-0.32,9.4,9.4,13.8,9.4,9.4,20260811092500
sz,001979,招商蛇口,7.23,7.2,7.23,3669.0,265.0,0.03,0.42,7.23,7.23,105.57,7.23,7.23,20260811092500
sz,002001,新 和 成,31.03,31.07,31.03,751.0,233.0,-0.04,-0.13,31.03,31.03,14.21,31.03,31.03,20260811092603
sz,002027,分众传媒,5.29,5.29,5.29,7848.0,415.0,0.0,0.0,5.29,5.29,21.22,5.29,5.29,20260811092500
sz,002028,思源电气,167.0,165.42,167.0,1205.0,2012.0,1.58,0.96,167.0,167.0,39.08,167.0,167.0,20260811092609
sz,002049,紫光国微,67.51,68.0,67.51,755.0,510.0,-0.49,-0.72,67.51,67.51,34.46,67.51,67.51,20260811092500
sz,002050,三花智控,38.3,38.53,38.3,1361.0,521.0,-0.23,-0.6,38.3,38.3,39.43,38.3,38.3,20260811092500
sz,002074,国轩高科,28.15,28.14,28.15,1012.0,285.0,0.01,0.04,28.15,28.15,22.17,28.15,28.15,20260811092603
sz,002142,宁波银行,31.97,32.0,31.97,798.0,255.0,-0.03,-0.09,31.97,31.97,7.01,31.97,31.97,20260811092612
