                  dmi_strength  dmi_adx  macd_dif  macd_bar  macd_golden  macd_cross  mom_20  mom_60  close_ma60_ratio  above_ma60     pe     pb
dmi_strength             1.000    0.446     0.297     0.295        0.492      -0.065   0.664   0.375             0.594       0.478 -0.006 -0.003
dmi_adx                  0.446    1.000     0.162     0.088        0.118      -0.017   0.345   0.198             0.282       0.180  0.014 -0.002
macd_dif                 0.297    0.162     1.000     0.320        0.109      -0.022   0.464   0.497             0.527       0.289  0.001 -0.005
macd_bar                 0.295    0.088     0.320     1.000        0.319       0.014   0.318   0.054             0.209       0.077 -0.016 -0.008
macd_golden              0.492    0.118     0.109     0.319        1.000       0.205   0.384   0.041             0.228       0.175 -0.013 -0.004
macd_cross              -0.065   -0.017    -0.022     0.014        0.205       1.000  -0.010   0.019             0.011      -0.012 -0.001  0.013
mom_20                   0.664    0.345     0.464     0.318        0.384      -0.010   1.000   0.628             0.872       0.493  0.012  0.001
mom_60                   0.375    0.198     0.497     0.054        0.041       0.019   0.628   1.000             0.867       0.544  0.008 -0.005
close_ma60_ratio         0.594    0.282     0.527     0.209        0.228       0.011   0.872   0.867             1.000       0.659  0.007 -0.001
above_ma60               0.478    0.180     0.289     0.077        0.175      -0.012   0.493   0.544             0.659       1.000  0.013  0.008
pe                      -0.006    0.014     0.001    -0.016       -0.013      -0.001   0.012   0.008             0.007       0.013  1.000  0.326
pb                      -0.003   -0.002    -0.005    -0.008       -0.004       0.013   0.001  -0.005            -0.001       0.008  0.326  1.000
